Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL281C,Health,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹10,000",Online Renewal Available
POL368I,Travel,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹18,000",Online Renewal Available
POL861A,Life,Covers emergency medical expenses abroad,Adventure sports injuries excluded,Annual,"₹12,000",Online Renewal Available
POL819F,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,3 Years,"₹30,000",Online Renewal Available
POL289I,Property,"Covers fire, flood, and natural disasters",War-related damages excluded,Annual,"₹12,000",Online Renewal Available
POL680D,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Online Renewal Available
POL477J,Property,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,20 Years,"₹25,000",Online Renewal Available
POL635A,Travel,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,3 Years,"₹15,000",Online Renewal Available
POL955O,Motor,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹30,000",Offline Renewal Only
POL877V,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,20 Years,"₹25,000",Online Renewal Available
POL967S,Health,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,20 Years,"₹15,000",Online Renewal Available
POL611K,Accident,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,3 Years,"₹25,000",Online Renewal Available
POL136K,Property,Covers accidental damage and theft,Claims under alcohol influence excluded,Annual,"₹18,000",Offline Renewal Only
POL351E,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,10 Years,"₹25,000",Online Renewal Available
POL339J,Motor,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,Annual,"₹12,000",Offline Renewal Only
POL824A,Accident,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹12,000",Online Renewal Available
POL570R,Life,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,Annual,"₹30,000",Online Renewal Available
POL172Z,Accident,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,10 Years,"₹15,000",Online Renewal Available
POL683K,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹15,000",Offline Renewal Only
POL882T,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹20,000",Online Renewal Available
POL149D,Life,Covers accidental damage and theft,Dental and cosmetic procedures excluded,5 Years,"₹18,000",Offline Renewal Only
POL482O,Accident,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,Annual,"₹15,000",Offline Renewal Only
POL519H,Accident,"Covers fire, flood, and natural disasters",War-related damages excluded,10 Years,"₹15,000",Online Renewal Available
POL654C,Property,Covers personal accident injuries and liabilities,Suicide not covered for first year,Annual,"₹20,000",Offline Renewal Only
POL329F,Travel,"Covers fire, flood, and natural disasters",Suicide not covered for first year,Annual,"₹10,000",Offline Renewal Only
POL832S,Health,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹18,000",Offline Renewal Only
POL618X,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹12,000",Offline Renewal Only
POL481E,Travel,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹30,000",Offline Renewal Only
POL667G,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹18,000",Offline Renewal Only
POL967W,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹18,000",Offline Renewal Only
POL543T,Accident,Covers accidental damage and theft,Adventure sports injuries excluded,Annual,"₹30,000",Offline Renewal Only
POL645G,Health,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹20,000",Online Renewal Available
POL898I,Travel,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,Annual,"₹8,000",Offline Renewal Only
POL893N,Life,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹30,000",Online Renewal Available
POL246E,Motor,Covers death due to natural or accidental causes,Suicide not covered for first year,Annual,"₹12,000",Online Renewal Available
POL540M,Travel,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹25,000",Offline Renewal Only
POL261N,Health,"Covers fire, flood, and natural disasters",Suicide not covered for first year,Annual,"₹10,000",Offline Renewal Only
POL376Z,Motor,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹15,000",Offline Renewal Only
POL889W,Property,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,10 Years,"₹18,000",Online Renewal Available
POL207X,Life,Covers accidental damage and theft,War-related damages excluded,10 Years,"₹8,000",Offline Renewal Only
POL102W,Property,Covers emergency medical expenses abroad,Suicide not covered for first year,Annual,"₹8,000",Online Renewal Available
POL802B,Life,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹12,000",Offline Renewal Only
POL524T,Property,Covers death due to natural or accidental causes,Adventure sports injuries excluded,5 Years,"₹12,000",Offline Renewal Only
POL780B,Property,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹10,000",Offline Renewal Only
POL809B,Health,Covers personal accident injuries and liabilities,Suicide not covered for first year,Annual,"₹10,000",Online Renewal Available
POL757R,Health,Covers death due to natural or accidental causes,War-related damages excluded,10 Years,"₹12,000",Online Renewal Available
POL954Z,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹8,000",Offline Renewal Only
POL226T,Accident,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹18,000",Offline Renewal Only
POL747K,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,20 Years,"₹10,000",Offline Renewal Only
POL497S,Health,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹15,000",Offline Renewal Only
POL188E,Motor,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,20 Years,"₹8,000",Offline Renewal Only
POL505O,Motor,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹8,000",Online Renewal Available
POL125W,Life,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,3 Years,"₹18,000",Offline Renewal Only
POL908U,Accident,Covers accidental damage and theft,Dental and cosmetic procedures excluded,3 Years,"₹20,000",Offline Renewal Only
POL544A,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹15,000",Offline Renewal Only
POL919K,Property,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹18,000",Offline Renewal Only
POL174I,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹15,000",Offline Renewal Only
POL154I,Travel,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹12,000",Online Renewal Available
POL147H,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹30,000",Offline Renewal Only
